term,rank,refresh_date
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
is facebook down,20,2026-03-03
